system:index,date,specific_humidity,.geo
0,2013-01-01,0.013070793838564014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2013-01-02,0.012841893856763069,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2013-01-03,0.01294687629887903,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2013-01-04,0.013102228285033232,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2013-01-05,0.013354796107463852,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2013-01-06,0.01316800272301036,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2013-01-07,0.01252577040799944,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2013-01-08,0.012646127527885282,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2013-01-09,0.012436646434480404,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2013-01-10,0.01279430277906198,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2013-01-11,0.013068080768690406,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2013-01-12,0.013382938326808485,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2013-01-13,0.014061360939733219,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2013-01-14,0.014481654001678666,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2013-01-15,0.01279961869869931,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2013-01-16,0.012920461892602922,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2013-01-17,0.013752786335556988,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2013-01-18,0.014581348382469545,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2013-01-19,0.013668933272318584,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2013-01-20,0.013337674810155931,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2013-01-21,0.013574219583314508,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2013-01-22,0.014692079298679684,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2013-01-23,0.014781203162357313,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2013-01-24,0.01403304168897504,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2013-01-25,0.014900468146098486,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2013-01-26,0.014908603610030607,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2013-01-27,0.014119793336068442,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2013-01-28,0.013729878792917233,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2013-01-29,0.013546640057087991,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2013-01-30,0.013645253437498778,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2013-01-31,0.014142769527812868,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2013-02-01,0.014294554376739597,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2013-02-02,0.014633416989973882,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2013-02-03,0.01488941607114623,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2013-02-04,0.015347621017272719,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2013-02-05,0.015395416953096744,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2013-02-06,0.014883986427114143,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2013-02-07,0.01482702861756126,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2013-02-08,0.015057828748681045,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2013-02-09,0.014744079360132382,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2013-02-10,0.01482752204050624,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2013-02-11,0.014583398239821079,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2013-02-12,0.014717812243614752,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2013-02-13,0.013886141589601773,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2013-02-14,0.013668793445786977,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2013-02-15,0.013494401950951451,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2013-02-16,0.013384609765925789,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2013-02-17,0.014063857128615633,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2013-02-18,0.014316614033074061,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2013-02-19,0.01484765117424472,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2013-02-20,0.014997925972570941,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2013-02-21,0.013977771741260367,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2013-02-22,0.014989217309946519,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2013-02-23,0.014784921688499706,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2013-02-24,0.014803213142795639,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2013-02-25,0.014589694066271091,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2013-02-26,0.014937566283372143,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2013-02-27,0.014884147507943346,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2013-02-28,0.015878448816611736,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2013-03-01,0.015774800467025746,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2013-03-02,0.01482055936596549,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2013-03-03,0.014515099784617099,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2013-03-04,0.014373695686903528,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2013-03-05,0.014852547057746773,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2013-03-06,0.0154074731010825,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2013-03-07,0.015498109033375984,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2013-03-08,0.015151162222565176,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2013-03-09,0.015736148921844866,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2013-03-10,0.015525525495614893,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2013-03-11,0.015970762857877133,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2013-03-12,0.015703715407786523,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2013-03-13,0.014317990647612688,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2013-03-14,0.01505190594701352,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2013-03-15,0.015353518268245202,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2013-03-16,0.014934690648315416,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2013-03-17,0.015796469284623204,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2013-03-18,0.015524411802029098,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2013-03-19,0.014699287159996946,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2013-03-20,0.014799166818489777,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2013-03-21,0.015082931429637106,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2013-03-22,0.015196557609867406,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2013-03-23,0.014585071274203623,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2013-03-24,0.014638464068670351,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2013-03-25,0.014239927589436333,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2013-03-26,0.01412079913981576,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2013-03-27,0.014242928808622426,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2013-03-28,0.014074867129543001,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2013-03-29,0.014942098281793936,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2013-03-30,0.015400182150687747,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2013-03-31,0.015303766956597319,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2013-04-01,0.015682141498288404,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2013-04-02,0.015497055680218778,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2013-04-03,0.01447724782289629,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2013-04-04,0.014471377582638731,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2013-04-05,0.014975975448854243,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2013-04-06,0.015552591812284812,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2013-04-07,0.015560267504431367,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2013-04-08,0.01589294747977934,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2013-04-09,0.01640009328860012,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2013-04-10,0.015653866368078976,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2013-04-11,0.01600234763468859,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2013-04-12,0.01563035822000226,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2013-04-13,0.016401553189825144,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2013-04-14,0.015933307846066613,"{""type"":""MultiPoint"",""coordinates"":[]}"
